,tweet-id,tweet-text,include-links,tweet-url
0,814866127264317446,"Shri Balasaheb Vikhe Patil was a mass leader whose work in agriculture, rural development, education & cooperatives will be remembered.",,https://twitter.com/narendramodi/status/814866127264317446
1,814865990794248197,Pained by the demise of Shri Balasaheb Vikhe Patil. May his soul rest in peace. My condolences to @RVikhePatil &amp; the entire family.,,https://twitter.com/narendramodi/status/814865990794248197
2,814853246988611586,"Download BHIM (Bharat Interface for Money) App. It will improve ease, experience & efficiency of digital transfers. https://play.google.com/store/apps/details?id=in.org.npci.upiapp",https://play.google.com/store/apps/details?id=in.org.npci.upiapp,https://twitter.com/narendramodi/status/814853246988611586
3,814851532722028544,3 years ago the dominant theme in the news was how much money was lost in scams. Now its about what is coming back. This is the difference.,,https://twitter.com/narendramodi/status/814851532722028544
4,814851435737149444,"अब वक्त बदल चुका है...आप ही का अंगूठा आपका बैंक, आपकी पहचान, आपका कारोबार!",,https://twitter.com/narendramodi/status/814851435737149444
5,814851261308669952,The most severe effect of corruption & black money is on the aspirations of the poor. A corruption free India is the best gift for our poor.,,https://twitter.com/narendramodi/status/814851261308669952
6,814851016826830848,"Honoured youngsters, entrepreneurs based in villages & collectors who are adding strong support in the movement towards digital transactions",,https://twitter.com/narendramodi/status/814851016826830848
7,814850409177067520,"The App's name is inspired by Dr. Babasaheb Ambedkar, at the core of whose vision was empowerment of the poor & a focus on self-reliance.",,https://twitter.com/narendramodi/status/814850409177067520
8,814850266969186304,The launch of the BHIM App is a landmark moment in our journey to move towards digital transactions & eliminate the menace of corruption.,,https://twitter.com/narendramodi/status/814850266969186304
9,814849431249924096,Vibrancy at Delhi's #DigiDhanMela showed yet again how strongly India has joined the movement to end corruption.,http://nm-4.com/kn0z,https://twitter.com/narendramodi/status/814849431249924096
10,814760389271392258,I will launch a Mobile App which will enable easier digital payments & transactions. The App will immensely benefit our citizens.,,https://twitter.com/narendramodi/status/814760389271392258
11,814760217112035330,Will join #DigiDhanMela programme at Talkatora Stadium in Delhi &amp; extend support to the movement towards increased digital transactions.,,https://twitter.com/narendramodi/status/814760217112035330
12,814719249075683328,Jharkhand Government & Minister @PiyushGoyal are working to restore normalcy. @NDRFHQ has been engaged for rescue &amp; relief operations.,,https://twitter.com/narendramodi/status/814719249075683328
13,814718992812150784,Saddened by the loss of lives at a mine in Jharkhand. My prayers are with those trapped inside. Spoke to CM Raghubar Das on the situation.,,https://twitter.com/narendramodi/status/814718992812150784
14,814463981318344704,Had a very insightful discussion with @SadhguruJV. @ishafoundation,,https://twitter.com/narendramodi/status/814463981318344704
15,814463405574623239,"Movement towards digital transactions spells the end of corruption, which adversely affects dreams & aspirations of the poor & middle class.",,https://twitter.com/narendramodi/status/814463405574623239
16,814463159700361216,I thank the people of Dehradun for making today's #DigiDhanMela in Dehradun a resounding success. People from all walks of life took part.,,https://twitter.com/narendramodi/status/814463159700361216
17,814294008268603393,Sharing a newsletter that includes snippets from last Sunday's #MannKiBaat. http://bit.ly/2id5mqi,http://bit.ly/2id5mqi,https://twitter.com/narendramodi/status/814294008268603393
18,814092338645434368,India has taken up the movement to embrace digital transactions with unprecedented vigour. My gratitude to people of India. #DigiDhanMela,,https://twitter.com/narendramodi/status/814092338645434368
19,814092231397117953,Every #DigiDhanMela is a fine way of learning about digital payments &amp; even inspiring others to use digital means.,,https://twitter.com/narendramodi/status/814092231397117953
20,814092133632069632,"Today's #DigiDhanMela in Goa saw widescale participation. Colleagues @manoharparrikar, Shri Shripad Naik &amp; CM Parsekar also took part.",,https://twitter.com/narendramodi/status/814092133632069632
